200,B09N9T9SLW,"HP Pavilion x360 14"" | 14-dw1010wm | FHD Touch | Processor: Intel Core i5-1135G7 | Memory: 8GB RAM | Storage: 256GB SSD | Silver | Windows 10 |",$399.99,"August 24, 2022",14 Inches,,1920x1080 Pixels,4.2 GHz core_i5,8 GB DDR4,4.2 GHz,256 GB SSD,Intel Iris Xe Graphics,Intel,Integrated,,2,,HP,HP Pavilion x360,14-dw1010wm,PC,Windows 10 Home,5.28 pounds,,,Silver,Intel,4,DDR4 SDRAM,8 GB,Solid State,non,,1 Lithium Polymer batteries required. (included)
200,B087BGGPSH,"2020 Newest Dell Inspiron 15 3000 PC Laptop: 15.6"" HD Anti-Glare LED-Backlit Nontouch Display, Intel 2-Core 4205U Processor, 4GB RAM, 1TB HDD, WiFi, Bluetooth, HDMI, Webcam,DVD-RW, Win 10",$299.95,"April 19, 2020",15.6 Inches,1366 x 768,,,4 GB DDR4,1.8 GHz,1 TB HDD,,Intel,,Bluetooth,,,Dell,,D15,,Windows 10,4.8 pounds,14.96 x 10.09 x 0.89 inches,,,Intel,4,SDRAM,1 TB,,,Battery Powered,1 Lithium Ion batteries required. (included)
200,B0964G71FL,Dell 2022 Inspiron 3000 I3505 15.6” FHD Laptop AMD Quad-Core Ryzen 5 3450U 32GB DDR4 1TB NVMe SSD Radeon Vega 8 Graphics HDMI Webcam WiFi AC BT RJ-45 Black Windows 10 Pro,,"May 28, 2021",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.1 GHz ryzen_5,32 GB DDR4,2666 MHz,1 TB SSD,AMD Radeon RX Vega 8,AMD,Dedicated,802.11ac,3,5 Hours,Dell,Dell I3505,Dell I3505,PC,Windows 10 Pro,8 pounds,14.33 x 9.8 x 0.78 inches,,Black,AMD,4,DDR4 SDRAM,,Solid State,,AC & Battery,
200,B07BWBN189,"2018 HP ENVY x360 15.6"" FHD Touchscreen 2-in-1 Laptop Computer, AMD Ryzen 5 2500U up to 3.6GHz (Beat i7-7500U), 8GB DDR4 RAM, 256GB SSD + 1TB HDD, USB 3.1, HDMI, 2x2 802.11ac, Bluetooth, Windows 10",,"April 3, 2018",15.6 Inches,,,2 GHz amd_r_series,8 GB DDR4,3.6 GHz,256 GB SSD,AMD Radeon RX Vega,AMD,Integrated,802.11ac,,,HP,,15M-BQ121dx,PC,Windows 10,12.3 ounces,14.2 x 9.8 x 0.8 inches,,,AMD,4,DDR4 SDRAM,256 GB,Serial ATA,,,
200,B094DSCX1J,"2021 Newest Dell Inspiron 3000 Premium Laptop, 15.6 FHD Display, Intel Core i5-1135G7, 16GB DDR4 RAM, 1TB PCIe SSD, Online Meeting Ready, Webcam, WiFi, HDMI, Windows 10 Home, Black",,"May 7, 2021",15.6 Inches,,1920 x 1080 Pixels,2.4 GHz core_i5,16 GB DDR4,,1 TB SSD,Intel Iris Xe Graphics,Intel,Integrated,Bluetooth,,,Dell,Dell Inspiron,i3000,PC,Windows 10,3.93 pounds,14.33 x 9.8 x 0.78 inches,,Black,Intel,4,DDR4 SDRAM,1 TB,PCIE x 4,,Battery Powered,1 Lithium Ion batteries required. (included)
200,B09KR2VWTJ,"HP 11.6inch Stream Laptop, Intel Celeron Processor Up to 2.60GHz, 4GB DDR4 RAM, 32GB SSD, Intel UHD Graphics, Win10 (Renewed), White, 11-11.99 inches, (HP 11.6inch Laptop)",,"October 31, 2021",11.6 Inches,,,,4 GB DDR4,2.6 GHz,,,Intel,,"Bluetooth, 802.11a",,,HP,,HP 11.6inch Laptop,,Windows 10,3.65 pounds,11.08 x 7.59 x 0.66 inches,,,Intel,,DDR4 SDRAM,,,,,
200,B07D9C2YF5,"ASUS ZenBook S UX391UA-XB71-R Ultra-thin and light 13.3-inch Full HD Laptop, Intel Core i7-8550U, 8GB RAM, 256GB M.2 SSD, Windows 10 Pro, FP Sensor, Thunderbolt, Burgundy Red",,"August 27, 2018",13.3 Inches,,1920x1080 Pixels,1.8 GHz core_i7,8 GB LPDDR3,2133 MHz,256 GB SSD,Intel HD,Intel,Integrated,802.11ac,3,9 Hours,ASUS,ASUS ZenBook,UX391UA-XB71-R,Unknown,Windows 10 Pro,2.31 pounds,12.24 x 8.39 x 0.51 inches,,Burgundy Red,Intel,6,Unknown,256,Solid State,,Battery Powered,1 Lithium Ion batteries required. (included)
200,B07TVV6W9G,"Dell Latitude 5501 15.6"" Notebook - Intel Core i7-9850H - 16GB RAM - 512GB SSD",$892.96,"July 5, 2019",15.6 Inches,,1920 x 1080 Pixels,2.6 GHz core_i7_family,16 GB DDR4,,512 GB SSD,Intel UHD Graphics 630,Intel,Integrated,802.11ac,,,Dell,5501,5501,PC,Windows 10 Pro,4.14 pounds,9.29 x 14.13 x 0.96 inches,,,Intel,1,DDR4 SDRAM,16,Solid State,No Optical Drive,Battery Powered,1 Lithium Ion batteries required. (included)
200,B079NCVVNX,"Dell Latitude 7389 13.3in 2-in-1 Convertible Touchscreen Laptop, Intel Core i7-7600U 2.8GHz Dual-Core, 16GB DDR4, 256GB SSD, 802.11ac, Backlit Keyboard, Bluetooth, Win10Pro (Renewed)",,"February 7, 2018",13.3 Inches,1920 x 1080 pixels,,2.8 GHz intel_atom,16 GB DDR4,2.8 GHz,256 GB SSD,Intel HD Graphics 620,Intel,Integrated,Bluetooth,,,Dell,Dell Latitude,Latitude 7389,PC,Windows 10 Pro 64 Bit,4.79 pounds,20.5 x 12.5 x 2.75 inches,,,Intel,2,DDR4 SDRAM,256 GB,Serial ATA,,,1 Lithium Ion batteries required. (included)
200,B09BDDKM1T,"Lenovo 2021 ThinkPad E15 Gen 2 15.6"" FHD Display Business Laptop (Intel i5-1135G7 4-Core, 32GB RAM, 512GB PCIe SSD, Intel Iris Xe, (1920x1080), Backlit KB, FP, WiFi 6, BT 5.2, Webcam, Win10P) w/Hub",,"January 20, 2022",15.6 Inches,,1920 x 1080 Pixels,,32 GB,,SSD,,Intel,Integrated,Bluetooth,,,Lenovo,,,,Windows 10,,,,,Intel,4,,512 GB,USB 3.2,,Battery Powered,
